Country,LanguageHaveWorkedWith,LanguageWantToWorkWith,ConvertedCompYearly,WorkExp,RemoteWork,AISelect
Brazil,Bash/Shell (all shells);C#;Go;Groovy;Java;JavaScript;Lua;PowerShell;Python;Rust;Zig,Assembly;Bash/Shell (all shells);C;C++;GDScript;Go;Java;Lua;Python;Zig,58252.0,22.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL,,25.0,Remote,"No, and I don't plan to"
Brazil,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;PHP;Python;SQL,Bash/Shell (all shells);C++;Python,81210.0,25.0,,"Yes, I use AI tools weekly"
Brazil,HTML/CSS;JavaScript;Python;SQL;TypeScript,HTML/CSS;JavaScript;SQL,40048.0,17.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);Java;JavaScript;PHP;Ruby,Bash/Shell (all shells);Elixir;Go;Java;JavaScript;TypeScript,25485.0,25.0,Remote,"Yes, I use AI tools weekly"
Brazil,Bash/Shell (all shells);Go;Python;Rust,Bash/Shell (all shells);Go;Lisp;OCaml;Python;Rust,7803.0,9.0,"Hybrid (some remote, leans heavy to in-person)","Yes, I use AI tools monthly or infrequently"
Brazil,Bash/Shell (all shells);JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);Go;Python;Rust;SQL,,30.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;Lua;PHP;PowerShell;Python;SQL;TypeScript,Assembly;Bash/Shell (all shells);C;C++;Go;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,,3.0,Remote,"Yes, I use AI tools daily"
Brazil,C#;SQL,C++;Dart;Go;JavaScript;Python;Rust;TypeScript,35169.0,8.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);C#;Go;Java;TypeScript;Visual Basic (.Net),Bash/Shell (all shells);C#;HTML/CSS;Java,116212.0,15.0,,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);Python;Scala;SQL,,12.0,,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);C;Java;JavaScript;Python;SQL;TypeScript,Assembly;Bash/Shell (all shells);C;C#;C++;Go;Java;JavaScript;Kotlin;Lua;OCaml;PHP;Python;Ruby;Rust;SQL;TypeScript;Zig,,1.0,,"No, but I plan to soon"
Brazil,,,62257.0,15.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,Go,24575.0,23.0,"Hybrid (some in-person, leans heavy to flexibility)","Yes, I use AI tools daily"
Brazil,Delphi;Java;Python;SQL,Python,7536.0,2.0,In-person,"Yes, I use AI tools daily"
Brazil,Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,,3.0,,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript,Bash/Shell (all shells);Elixir;Erlang;Go;HTML/CSS;Java;Lua;Python,12060.0,4.0,"Hybrid (some in-person, leans heavy to flexibility)","Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);C;C++;Groovy;HTML/CSS;Java;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);Java;JavaScript;Rust;SQL,16383.0,20.0,"Hybrid (some in-person, leans heavy to flexibility)","Yes, I use AI tools daily"
Brazil,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,HTML/CSS;JavaScript;PHP;Python;Rust,27306.0,12.0,Remote,"No, and I don't plan to"
Brazil,Dart;HTML/CSS;JavaScript;PHP;Python;TypeScript;Visual Basic (.Net),HTML/CSS;JavaScript;PHP;Python;TypeScript,12014.0,4.0,In-person,"Yes, I use AI tools weekly"
Brazil,C#;HTML/CSS;JavaScript;SQL;TypeScript,Python,36407.0,7.0,,"Yes, I use AI tools daily"
Brazil,C#,C#,22937.0,8.0,,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);C++;Fortran;Go;Java;PHP;Python;Rust;SQL,Kotlin;Rust;Zig,,10.0,,"Yes, I use AI tools monthly or infrequently"
Brazil,Bash/Shell (all shells);Dart;Java;JavaScript;Python;SQL,Assembly;Bash/Shell (all shells);C;JavaScript;Python,,5.0,,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;PHP;Scala,HTML/CSS;Java;JavaScript,44417.0,28.0,Remote,"Yes, I use AI tools monthly or infrequently"
Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;Python;Rust,Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;Rust,,,,"No, and I don't plan to"
Brazil,Bash/Shell (all shells);HTML/CSS;Java;PHP;Ruby;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;Java;Ruby;SQL,150.0,20.0,Remote,"Yes, I use AI tools daily"
Brazil,C#;Dart;Python;SQL,C#;Dart;Python;SQL,55.0,25.0,"Hybrid (some remote, leans heavy to in-person)","Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,,,27.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL;TypeScript,,72815.0,22.0,,"Yes, I use AI tools daily"
Brazil,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript,Assembly;Bash/Shell (all shells);C;C#;C++;JavaScript,14563.0,38.0,,"Yes, I use AI tools monthly or infrequently"
Brazil,,,55000.0,13.0,Remote,"Yes, I use AI tools daily"
Brazil,C;C++;Delphi;Fortran;HTML/CSS;PHP;Python;R;Ruby;SQL,Lisp;Prolog,,40.0,"Your choice (very flexible, you can come in when you want or just as needed)","Yes, I use AI tools monthly or infrequently"
Brazil,Bash/Shell (all shells);Java;Kotlin;Lua;Python;SQL,Bash/Shell (all shells);Java;Lua;Python;Rust;SQL,34587.0,10.0,Remote,"Yes, I use AI tools daily"
Brazil,Elixir,Elixir,14199.0,1.0,"Hybrid (some remote, leans heavy to in-person)","Yes, I use AI tools daily"
Brazil,Java;Kotlin,Java,,18.0,,"No, but I plan to soon"
Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL,Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript,,11.0,In-person,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);C;C++;GDScript;Go;HTML/CSS;Lua;Python,GDScript;Rust,28398.0,20.0,Remote,"Yes, I use AI tools daily"
Brazil,JavaScript;Ruby,JavaScript;Ruby,136432.0,25.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);SQL,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Perl;PowerShell;Python;R;SQL,27306.0,27.0,Remote,"No, and I don't plan to"
Brazil,Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;Lua;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);Go;Zig,,11.0,Remote,"Yes, I use AI tools weekly"
Brazil,Dart;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,,10194.0,6.0,"Hybrid (some remote, leans heavy to in-person)","Yes, I use AI tools weekly"
Brazil,,,,15.0,"Hybrid (some remote, leans heavy to in-person)","No, but I plan to soon"
Brazil,JavaScript;Python,,,30.0,,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);C;C++;Go;HTML/CSS;Lua;Python;Ruby;SQL,Bash/Shell (all shells);Go;HTML/CSS;Python;Rust;SQL,109222.0,15.0,Remote,"Yes, I use AI tools daily"
Brazil,C#;Delphi;Kotlin,,18204.0,50.0,Remote,"Yes, I use AI tools monthly or infrequently"
Brazil,C#;HTML/CSS;JavaScript;Python;SQL;VBA,C#;Elixir;F#;Kotlin;Python,27306.0,23.0,Remote,"Yes, I use AI tools monthly or infrequently"
Brazil,Bash/Shell (all shells);Python;SQL,Bash/Shell (all shells);Python;SQL,41868.0,6.0,"Hybrid (some in-person, leans heavy to flexibility)","Yes, I use AI tools monthly or infrequently"
Brazil,,,,10.0,"Your choice (very flexible, you can come in when you want or just as needed)","Yes, I use AI tools monthly or infrequently"
Brazil,HTML/CSS;JavaScript;Python;Ruby,C++;HTML/CSS;JavaScript;Lua;Python;Scala;TypeScript,5461.0,3.0,,"Yes, I use AI tools weekly"
Brazil,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;SQL,13034.0,26.0,"Hybrid (some remote, leans heavy to in-person)","No, and I don't plan to"
Brazil,Python;SQL,Bash/Shell (all shells);Elixir;Lisp;Lua;Python;R;SQL,54611.0,8.0,"Your choice (very flexible, you can come in when you want or just as needed)","Yes, I use AI tools monthly or infrequently"
Brazil,C++;Delphi;HTML/CSS;JavaScript;PHP;Python;SQL;VBA,,36407.0,29.0,Remote,"No, and I don't plan to"
Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Ruby;TypeScript,Go;Python,118324.0,20.0,Remote,"Yes, I use AI tools daily"
Brazil,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,,7.0,Remote,"Yes, I use AI tools weekly"
Brazil,HTML/CSS;JavaScript;TypeScript,Go,30582.0,15.0,Remote,"Yes, I use AI tools daily"
Brazil,HTML/CSS;JavaScript;PHP;SQL;TypeScript,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,17476.0,15.0,In-person,"Yes, I use AI tools daily"
Brazil,Dart;HTML/CSS;JavaScript;Python;Rust;SQL;Swift,Dart;JavaScript;SQL;Swift,27306.0,10.0,In-person,"Yes, I use AI tools weekly"
Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust,Bash/Shell (all shells);JavaScript;Kotlin;Python;Rust,14563.0,4.0,,"Yes, I use AI tools weekly"
Brazil,Bash/Shell (all shells);C#;Dart;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;SQL;TypeScript,C#;Dart;GDScript;SQL,34077.0,15.0,Remote,"No, and I don't plan to"
Brazil,Python;SQL,C#,21844.0,6.0,In-person,"Yes, I use AI tools daily"
Brazil,Python,Python,56795.0,8.0,"Your choice (very flexible, you can come in when you want or just as needed)","No, and I don't plan to"
Brazil,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Kotlin;Lua;TypeScript,Dart,25485.0,8.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);Go,C++;Rust,,18.0,Remote,"Yes, I use AI tools monthly or infrequently"
Brazil,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;SQL,,22.0,Remote,"No, but I plan to soon"
Brazil,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript;Zig,100000.0,13.0,,"Yes, I use AI tools weekly"
Brazil,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Lua;Python;Rust;SQL;TypeScript,JavaScript;Lua;Rust;SQL;TypeScript,12069.0,1.0,"Hybrid (some in-person, leans heavy to flexibility)","Yes, I use AI tools weekly"
Brazil,Assembly;Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;PHP;PowerShell;Python;R;Swift;TypeScript;VBA,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;Rust;Swift;TypeScript,,35.0,In-person,"Yes, I use AI tools daily"
Brazil,HTML/CSS;JavaScript;Python;Gleam,Rust;Gleam,13107.0,8.0,Remote,"Yes, I use AI tools monthly or infrequently"
Brazil,Bash/Shell (all shells);JavaScript;Python;Rust;SQL;TypeScript,Elixir;Rust,15047.0,5.0,,"Yes, I use AI tools daily"
Brazil,HTML/CSS;JavaScript;Ruby;SQL;TypeScript,C++;Go;HTML/CSS;JavaScript;Kotlin;Ruby;SQL;Swift;TypeScript,72815.0,12.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Lua;Python;SQL;TypeScript;Gleam,C;Dart;Elixir;HTML/CSS;Java;JavaScript;Kotlin;Lua;SQL;Swift;TypeScript;Zig;Gleam,15764.0,6.0,"Your choice (very flexible, you can come in when you want or just as needed)","Yes, I use AI tools daily"
Brazil,Ada;Assembly;GDScript;HTML/CSS;Java;JavaScript;SQL;TypeScript;Visual Basic (.Net),Ada;Assembly;GDScript;HTML/CSS;Java;JavaScript;SQL;TypeScript;Visual Basic (.Net),,24.0,"Hybrid (some in-person, leans heavy to flexibility)","Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);GDScript;Groovy;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;SQL;TypeScript,GDScript;Java;Kotlin;SQL;TypeScript,12925.0,3.0,Remote,"No, and I don't plan to"
Brazil,Bash/Shell (all shells);C#;Go;Groovy;Java;JavaScript;Lua;PowerShell;TypeScript,C;Go;Rust,4824.0,2.0,"Your choice (very flexible, you can come in when you want or just as needed)","No, and I don't plan to"
Brazil,Bash/Shell (all shells);C#;Erlang;F#;HTML/CSS;Lisp;Lua;OCaml;Rust;SQL;Zig;Gleam,Assembly;Bash/Shell (all shells);C;C++;Elixir;Erlang;F#;Lisp;Lua;OCaml;Prolog;SQL;Zig;Gleam,60000.0,7.0,Remote,"No, and I don't plan to"
Brazil,Bash/Shell (all shells);Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Ruby;TypeScript,Bash/Shell (all shells);Elixir;Go;HTML/CSS;Java;JavaScript;Kotlin;Lisp;OCaml;Rust,63713.0,14.0,"Hybrid (some in-person, leans heavy to flexibility)","Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);Python,Bash/Shell (all shells);C++;Elixir;Kotlin;OCaml;Python,,14.0,,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;SQL;TypeScript,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,21844.0,12.0,In-person,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,Bash/Shell (all shells);Elixir;HTML/CSS;Python;Rust,60072.0,10.0,"Hybrid (some in-person, leans heavy to flexibility)","Yes, I use AI tools monthly or infrequently"
Brazil,Go;JavaScript;Lisp;Ruby;TypeScript;Zig,Go;JavaScript;OCaml;Ruby;TypeScript;Gleam,135000.0,5.0,Remote,
Brazil,Go;HTML/CSS;Ruby,Bash/Shell (all shells),,4.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);C;C++;Java;JavaScript;Python,C;C++;HTML/CSS;JavaScript,19296.0,16.0,In-person,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);C;Delphi;Fortran;HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA;Visual Basic (.Net),,,1.0,,"No, and I don't plan to"
Brazil,C++;Go;HTML/CSS;JavaScript;Kotlin;Lua;PowerShell;Python;Rust;TypeScript,PowerShell;Rust;TypeScript,3641.0,3.0,Remote,"No, and I don't plan to"
Brazil,HTML/CSS;Java;JavaScript;SQL;TypeScript,Go;Lua;OCaml;Ruby;Zig;Gleam,5097.0,,Remote,"No, and I don't plan to"
Brazil,C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;SQL,24029.0,28.0,Remote,"Yes, I use AI tools daily"
Brazil,C++;Java;Kotlin;PHP;Python;SQL;VBA,C#;HTML/CSS;JavaScript;PowerShell;TypeScript,18.0,4.0,In-person,"Yes, I use AI tools daily"
Brazil,C#;F#;PowerShell;SQL,C#;F#;PowerShell;SQL,13107.0,13.0,Remote,"No, and I don't plan to"
Brazil,C;Elixir;HTML/CSS;JavaScript;MATLAB;PowerShell;Python;SQL,C#;C++;HTML/CSS;JavaScript;Python;SQL,3495.0,2.0,In-person,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);Dart;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Ada;Bash/Shell (all shells);Dart;HTML/CSS;JavaScript;Lisp;Prolog;Python;Rust;SQL;TypeScript;Zig;Gleam,180000.0,15.0,Remote,"No, and I don't plan to"
Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Lua;Rust;TypeScript,65533.0,7.0,Remote,"No, and I don't plan to"
Brazil,C;C#;C++;Dart;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,C#;Dart;Go;HTML/CSS;Kotlin;Lua;OCaml;PowerShell;Rust;TypeScript;Zig,,,,"Yes, I use AI tools weekly"
Brazil,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;TypeScript,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;PowerShell;Python,14745.0,20.0,In-person,"Yes, I use AI tools weekly"
Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP,43689.0,10.0,"Your choice (very flexible, you can come in when you want or just as needed)","Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,,15.0,"Hybrid (some remote, leans heavy to in-person)","No, but I plan to soon"
Brazil,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;SQL;Swift;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;Swift;TypeScript,72815.0,10.0,Remote,"Yes, I use AI tools monthly or infrequently"
Brazil,HTML/CSS;JavaScript;PHP,HTML/CSS;JavaScript;PHP;TypeScript,17476.0,3.0,In-person,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);HTML/CSS;Kotlin;PowerShell;Python;R;SQL,Java;JavaScript;TypeScript,,2.0,,"Yes, I use AI tools weekly"
Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell (all shells);C++;COBOL;HTML/CSS;JavaScript;PHP;Python;SQL;Swift;TypeScript,13000.0,10.0,,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;Kotlin;SQL;TypeScript,,10.0,Remote,"Yes, I use AI tools monthly or infrequently"
Brazil,Bash/Shell (all shells);Go;Kotlin;Python,Bash/Shell (all shells);Go;Kotlin;Python,54611.0,9.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,22391.0,5.0,Remote,"Yes, I use AI tools daily"
Brazil,HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript,C#;C++;Go;HTML/CSS;JavaScript;Kotlin;Ruby;SQL;TypeScript,8738.0,5.0,Remote,"Yes, I use AI tools weekly"
Brazil,C#;Dart;SQL,C#;C++;Dart;Zig,41941.0,10.0,Remote,"Yes, I use AI tools monthly or infrequently"
Brazil,C++;HTML/CSS;JavaScript;Python;TypeScript,Lua;Rust,4769.0,1.0,,"Yes, I use AI tools daily"
Brazil,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,,,"Hybrid (some in-person, leans heavy to flexibility)","No, and I don't plan to"
Brazil,C#;C++;Go;HTML/CSS;JavaScript;Python;Rust;TypeScript;Gleam,C#;C++;HTML/CSS;Rust;Swift;Zig;Gleam,,,,"Yes, I use AI tools weekly"
Brazil,JavaScript;TypeScript,,100000.0,8.0,Remote,"Yes, I use AI tools weekly"
Brazil,C#;Go;HTML/CSS;JavaScript;MicroPython;PHP;Python;SQL;TypeScript,Assembly;C;C++;Go;HTML/CSS;JavaScript;MicroPython;PHP;Python;SQL;TypeScript,34951.0,10.0,"Your choice (very flexible, you can come in when you want or just as needed)","Yes, I use AI tools daily"
Brazil,C#;Visual Basic (.Net),C;Rust;Visual Basic (.Net),45509.0,30.0,Remote,"Yes, I use AI tools daily"
Brazil,JavaScript;TypeScript,TypeScript,65533.0,12.0,In-person,"Yes, I use AI tools daily"
Brazil,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;Java,,,,"Yes, I use AI tools weekly"
Brazil,Fortran;HTML/CSS;JavaScript;Perl;PHP;PowerShell;Python;TypeScript,Python;Rust;TypeScript,,7.0,"Your choice (very flexible, you can come in when you want or just as needed)","Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;R;Ruby,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;R;Ruby,910.0,38.0,,"Yes, I use AI tools daily"
Brazil,Dart;HTML/CSS;JavaScript;Kotlin;PHP;Python;R;SQL,C;C#;Dart;HTML/CSS;JavaScript;Kotlin;PHP;Python;SQL,27306.0,35.0,"Hybrid (some remote, leans heavy to in-person)","Yes, I use AI tools weekly"
Brazil,HTML/CSS;JavaScript;Python,HTML/CSS;JavaScript;Python,,,,"Yes, I use AI tools daily"
Brazil,Kotlin;Python,Python,473.0,,In-person,"No, but I plan to soon"
Brazil,Elixir;HTML/CSS,Elixir;Erlang,182037.0,13.0,Remote,"No, and I don't plan to"
Brazil,Elixir;HTML/CSS;JavaScript;Lua,Elixir;Go;HTML/CSS;JavaScript;Lua;Rust;TypeScript,,,,"No, but I plan to soon"
Brazil,Bash/Shell (all shells);Elixir;Go;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,Bash/Shell (all shells);Dart;Elixir;Erlang;Go;HTML/CSS;JavaScript;Kotlin;Ruby;Rust;SQL;Swift;TypeScript;Zig;Gleam,32767.0,15.0,"Your choice (very flexible, you can come in when you want or just as needed)","Yes, I use AI tools daily"
Brazil,C++;Java,C++,,,,"Yes, I use AI tools weekly"
Brazil,Assembly;Bash/Shell (all shells);C;C++;Java;Rust;TypeScript,,,,"Hybrid (some remote, leans heavy to in-person)","No, and I don't plan to"
Brazil,C#;Go;HTML/CSS;JavaScript;Python,C#;C++;Go;Python;Rust,,6.0,,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);C;HTML/CSS;JavaScript;Lua;PHP;Python;Rust;SQL;TypeScript,Assembly;C#;C++;Elixir;Go;Java,12014.0,2.0,In-person,"Yes, I use AI tools monthly or infrequently"
Brazil,Java;Kotlin;TypeScript,Java;Kotlin;TypeScript,36407.0,15.0,"Hybrid (some in-person, leans heavy to flexibility)","Yes, I use AI tools weekly"
Brazil,Bash/Shell (all shells);C;Erlang;HTML/CSS;Java;JavaScript;PowerShell;TypeScript,Elixir;Lua;Rust;Gleam,2184.0,25.0,Remote,"Yes, I use AI tools monthly or infrequently"
Brazil,Ruby,,21480.0,5.0,"Hybrid (some remote, leans heavy to in-person)","Yes, I use AI tools daily"
Brazil,C#;Dart;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,C#;Dart;Elixir;Go;HTML/CSS;JavaScript;PHP;Python;Ruby;Rust;SQL;TypeScript,10922.0,13.0,,"Yes, I use AI tools daily"
